txn_id,date,amount,description,reference,counterparty,bank_code
BTX-00028,2026-08-11,-481.95,Delta Air Lines PAYMENT INV-64433,INV-64433,Delta Air Lines,
BTX-00117,2026-08-08,4327.06,PayPal Settlement FX SETTLEMENT,INV-19779,PayPal Settlement,
BTX-00049,2026-08-25,15365.83,Stripe Payouts PAYMENT INV-39719,INV-39719,Stripe Payouts,
BTX-00069,2026-08-21,-518.76,Marriott PAYMENT INV-10515,INV-10515,Marriott,
BTX-00059,2026-08-05,-64.96,Slack Technologies PAYMENT INV-29811,INV-29811,Slack Technologies,
BTX-00029,2026-08-06,-12400.00,WeWork PAYMENT INV-20876,INV-20876,WeWork,
BTX-00015,2026-08-19,-86000.00,Gusto Payroll PAYMENT INV-55020,INV-55020,Gusto Payroll,
BTX-00123,2026-08-04,-3572.53,CARD NOT PRESENT TXN 8842XYZ,,UNKNOWN,POS
BTX-00064,2026-08-11,-1415.57,Datadog PAYMENT INV-48399,INV-48399,Datadog,
BTX-00065,2026-08-15,14573.36,Stripe Payouts PAYMENT INV-43995,INV-43995,Stripe Payouts,
BTX-00103,2026-08-27,23054.80,CASH DEPOSIT - Globex Industries,,Globex Industries,DEP
BTX-00010,2026-08-07,-86000.00,Gusto Payroll PAYMENT INV-58810,INV-58810,Gusto Payroll,
BTX-00021,2026-08-16,-388.51,Snowflake PAYMENT INV-97051,INV-97051,Snowflake,
BTX-00089,2026-08-04,-1475.10,Snowflake PAYMENT INV-33796,INV-33796,Snowflake,
BTX-00016,2026-08-07,31576.28,Acme Corp PAYMENT INV-25475,INV-25475,Acme Corp,
BTX-00051,2026-08-09,4883.47,PayPal Settlement PAYMENT INV-89316,INV-89316,PayPal Settlement,
BTX-00062,2026-08-01,-4784.38,Google Ads PAYMENT INV-95154,INV-95154,Google Ads,
BTX-00078,2026-08-08,-1204.05,Google Ads PAYMENT INV-68658,INV-68658,Google Ads,
BTX-00031,2026-08-11,-86000.00,Gusto Payroll PAYMENT INV-10536,INV-10536,Gusto Payroll,
BTX-00120,2026-08-03,-1419.45,Datadog PAYMENT INV-74447,INV-74447,Datadog,
BTX-00034,2026-08-29,-315.77,Marriott PAYMENT INV-99204,INV-99204,Marriott,
BTX-00033,2026-08-17,-126.66,Notion Labs PAYMENT INV-90949,INV-90949,Notion Labs,
BTX-00039,2026-09-01,-7136.79,CDW PAYMENT INV-37256,INV-37256,CDW,
BTX-00088,2026-08-26,-1719.44,Snowflake PAYMENT INV-39957,INV-39957,Snowflake,
BTX-00044,2026-08-18,-3613.47,Amazon Web Services PAYMENT INV-57415,INV-57415,Amazon Web Services,
BTX-00054,2026-08-20,8961.90,Globex Industries PAYMENT INV-89988,INV-89988,Globex Industries,
BTX-00061,2026-08-16,-4241.85,Baker McKenzie PAYMENT INV-30435,INV-30435,Baker McKenzie,
BTX-00022,2026-08-14,-764.79,Google Cloud Platform PAYMENT INV-94820,INV-94820,Google Cloud Platform,
BTX-00017,2026-08-14,-2033.78,Delta Air Lines PAYMENT INV-29920,INV-29920,Delta Air Lines,
BTX-00109,2026-08-03,-45.51,FX CONVERSION MARKUP,,BANK,FEE
BTX-00095,2026-08-09,12025.15,Stripe Payouts BATCH REMITTANCE,,Stripe Payouts,
BTX-00063,2026-08-06,-1101.41,LinkedIn Ads PAYMENT INV-66860,INV-66860,LinkedIn Ads,
BTX-00118,2026-08-15,-111.84,Notion Labs FX SETTLEMENT,INV-27380,Notion Labs,
BTX-00083,2026-08-17,-342.86,Figma PAYMENT INV-31337,INV-31337,Figma,
BTX-00018,2026-08-26,-2312.96,Delta Air Lines PAYMENT INV-20173,INV-20173,Delta Air Lines,
BTX-00079,2026-08-15,-2130.00,Delta Air Lines PAYMENT INV-51416,INV-51416,Delta Air Lines,
BTX-00058,2026-08-25,-12400.00,WeWork PAYMENT INV-21130,INV-21130,WeWork,
BTX-00053,2026-08-09,-1547.26,Snowflake PAYMENT INV-71614,INV-71614,Snowflake,
BTX-00094,2026-08-08,12532.39,Initech LLC BATCH REMITTANCE,,Initech LLC,
BTX-00121,2026-08-07,-1078.60,Datadog PAYMENT INV-64549,INV-64549,Datadog,
BTX-00011,2026-08-23,-2053.08,Google Ads PAYMENT INV-17812,INV-17812,Google Ads,
BTX-00093,2026-08-31,35857.75,Acme Corp BATCH REMITTANCE,,Acme Corp,
BTX-00027,2026-08-19,-456.59,Slack Technologies PAYMENT INV-46416,INV-46416,Slack Technologies,
BTX-00100,2026-08-03,3448.78,STRIPE PAYOUT - DAILY SETTLEMENT,,Stripe Payouts,
BTX-00071,2026-08-21,-1781.78,Google Cloud Platform PAYMENT INV-79563,INV-79563,Google Cloud Platform,
BTX-00052,2026-08-26,-465.87,Marriott PAYMENT INV-55812,INV-55812,Marriott,
BTX-00081,2026-08-07,-95.97,Figma PAYMENT INV-94339,INV-94339,Figma,
BTX-00098,2026-08-20,28909.37,Globex Industries BATCH REMITTANCE,,Globex Industries,
BTX-00104,2026-08-26,36632.07,CASH DEPOSIT - Acme Corp,,Acme Corp,DEP
BTX-00004,2026-08-12,-1471.66,Delta Air Lines PAYMENT INV-21889,INV-21889,Delta Air Lines,
BTX-00055,2026-08-12,-2226.41,Baker McKenzie PAYMENT INV-94296,INV-94296,Baker McKenzie,
BTX-00101,2026-08-18,4500.46,STRIPE PAYOUT - DAILY SETTLEMENT,,Stripe Payouts,
BTX-00048,2026-08-09,-2276.94,LinkedIn Ads PAYMENT INV-90377,INV-90377,LinkedIn Ads,
BTX-00099,2026-08-14,4067.22,STRIPE PAYOUT - DAILY SETTLEMENT,,Stripe Payouts,
BTX-00025,2026-08-08,-295.62,Figma PAYMENT INV-47674,INV-47674,Figma,
BTX-00041,2026-08-07,9138.12,Initech LLC PAYMENT INV-73972,INV-73972,Initech LLC,
BTX-00066,2026-08-05,-548.09,Delta Air Lines PAYMENT INV-56371,INV-56371,Delta Air Lines,
BTX-00056,2026-08-29,-89.66,Figma PAYMENT INV-36125,INV-36125,Figma,
BTX-00035,2026-08-16,-12400.00,WeWork PAYMENT INV-23570,INV-23570,WeWork,
BTX-00032,2026-08-22,-1213.21,Delta Air Lines PAYMENT INV-84231,INV-84231,Delta Air Lines,
BTX-00020,2026-08-19,10821.18,Initech LLC PAYMENT INV-69795,INV-69795,Initech LLC,
BTX-00082,2026-08-06,-249.13,Notion Labs PAYMENT INV-71307,INV-71307,Notion Labs,
BTX-00037,2026-08-20,-700.85,Slack Technologies PAYMENT INV-16891,INV-16891,Slack Technologies,
BTX-00085,2026-08-13,-1965.45,Delta Air Lines PAYMENT INV-22084,INV-22084,Delta Air Lines,
BTX-00107,2026-08-22,-29.19,MONTHLY SERVICE CHARGE,,BANK,FEE
BTX-00124,2026-08-24,-3080.79,ATM WITHDRAWAL OUT OF NETWORK,,UNKNOWN,POS
BTX-00014,2026-08-23,15018.50,Stripe Payouts PAYMENT INV-41994,INV-41994,Stripe Payouts,
BTX-00126,2026-08-19,239.73,REVERSAL OF ERRONEOUS DEBIT,,BANK,INT
BTX-00007,2026-08-03,-149.60,Google Cloud Platform PAYMENT INV-82963,INV-82963,Google Cloud Platform,
BTX-00110,2026-08-09,-1567.07,PROCESSING FEE STRIPE,,BANK,FEE
BTX-00036,2026-08-06,-12400.00,WeWork PAYMENT INV-37363,INV-37363,WeWork,
BTX-00097,2026-08-20,13481.15,Initech LLC BATCH REMITTANCE,,Initech LLC,
